 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
427,0.060,1.029,0.327,674,1807,123.690,0.302
428,0.069,1.022,0.394,88,1815,32.471,0.262
429,0.112,1.339,0.545,978,1826,33.690,0.321
430,0.065,1.004,0.345,780,1821,164.745,0.297
431,0.575,4.369,1.398,1016,1872,51.147,0.732
432,0.727,3.476,1.192,745,1880,54.293,0.893
433,0.094,1.175,0.454,782,1857,36.870,0.294
434,0.076,1.097,0.430,998,1857,39.289,0.277
435,0.080,1.150,0.450,83,1868,42.274,0.296
436,0.033,0.755,0.345,800,1865,37.875,0.149
437,1.018,4.875,1.525,702,1862,103.761,1.072
438,0.038,0.816,0.353,1012,1881,30.964,0.183
439,0.056,0.933,0.345,774,1885,15.255,0.235
440,0.068,1.079,0.393,790,1885,22.620,0.257
441,0.147,1.520,0.623,63,1894,50.906,0.363
442,0.036,0.762,0.316,92,1891,16.699,0.212
443,0.056,0.944,0.393,785,1903,22.620,0.212
444,0.062,1.122,0.492,29,1913,42.510,0.192
445,0.182,1.812,0.653,55,1927,76.608,0.393
446,0.063,1.072,0.450,752,1917,42.274,0.223
447,0.058,0.936,0.354,102,1920,19.983,0.242
448,0.076,1.015,0.369,0,1931,55.008,0.302
449,0.055,0.883,0.354,54,1941,19.983,0.235
450,0.239,2.497,0.949,1108,1963,59.349,0.457
451,0.080,1.065,0.382,1091,1941,161.565,0.302
452,0.078,1.090,0.454,739,1951,36.870,0.257
453,2.589,10.911,2.343,1138,1995,17.266,1.996
454,0.125,1.467,0.488,1081,1950,111.801,0.368
455,0.038,0.901,0.368,779,1958,170.538,0.167
456,0.053,1.082,0.473,648,1965,26.565,0.203
457,0.041,1.012,0.428,1126,1973,45.000,0.192
458,0.954,7.198,1.619,1075,2009,57.200,1.122
459,0.088,1.243,0.454,772,1977,36.870,0.321
460,0.055,1.150,0.514,798,1979,28.072,0.162
461,0.054,1.115,0.488,721,1981,21.801,0.189
462,0.140,1.460,0.587,753,1992,55.491,0.357
463,0.073,1.029,0.430,1123,1991,39.289,0.257
464,0.163,1.880,0.584,40,2020,68.749,0.491
465,0.067,1.115,0.492,652,2018,42.510,0.214
466,0.421,3.625,1.317,1030,2036,31.866,0.567
467,0.086,1.158,0.398,879,2025,171.254,0.302
468,0.130,1.613,0.706,923,2038,43.264,0.299
469,0.453,2.973,1.016,659,2059,67.249,0.735
470,0.040,0.841,0.365,1062,2035,24.444,0.168
471,0.030,0.841,0.387,1183,2040,38.660,0.133
472,0.056,1.047,0.472,0,2045,50.194,0.207
473,0.102,1.510,0.666,1186,2058,50.528,0.278
474,0.062,1.450,0.647,1161,2055,37.405,0.192
475,0.133,1.450,0.522,928,2054,10.008,0.382
476,0.114,2.034,0.803,1000,2057,19.799,0.325
477,0.070,1.012,0.374,44,2059,165.964,0.290
478,0.046,1.175,0.406,1122,2068,63.435,0.242
479,0.060,0.901,0.369,31,2070,34.992,0.257
480,0.080,1.475,0.492,1191,2074,47.490,0.268
481,0.043,0.883,0.385,1177,2074,45.000,0.184
482,0.053,1.133,0.503,1196,2078,32.735,0.176
483,0.069,1.175,0.538,918,2082,38.157,0.214
484,0.043,0.848,0.369,981,2102,55.008,0.171
485,0.117,1.649,0.758,862,2104,23.499,0.263
486,0.072,1.047,0.420,1095,2105,59.744,0.277
487,0.067,1.012,0.411,59,2107,36.027,0.235
488,0.192,1.877,0.653,1072,2113,13.392,0.426
489,0.042,0.755,0.302,0,2128,36.870,0.214
490,0.080,1.183,0.514,1098,2147,28.072,0.230
491,0.030,0.823,0.364,1137,2153,48.366,0.157
492,0.088,1.193,0.411,1049,2175,72.897,0.351
493,0.048,0.833,0.338,820,2170,26.565,0.212
494,0.066,1.578,0.520,929,2175,35.538,0.289
495,0.534,3.277,1.069,958,2194,28.740,0.739
496,0.031,0.755,0.353,1049,2186,30.964,0.159
497,0.055,0.883,0.353,16,2192,30.964,0.243
498,0.091,1.193,0.501,22,2202,25.017,0.284
499,0.101,1.973,0.587,1034,2216,55.491,0.379
500,0.070,1.115,0.473,550,2231,26.565,0.225
501,0.106,1.442,0.620,1008,2242,43.025,0.299
502,0.031,0.755,0.338,1020,2242,26.565,0.162
503,0.042,0.841,0.326,0,2244,21.801,0.210
